Country Name,Country Code,Indicator Name,Indicator Code,Attribute,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Base Year
Philippines,566,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,0.200798613,14.90558288,13.22679081,9.002665547,2.787334042,5.241875355,5.730074605,5.502133756,6.074727401,
Singapore,576,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,5.390545099,5.330871642,7.044583167,0.825551284,1.33036113,3.921042914,4.328352887,4.447905962,4.849560466,
Thailand,578,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,1.578704705,-5.279758934,0.806381862,-3.181699574,3.474188356,3.536730546,3.64435402,3.97933357,3.840476512,
Vietnam,582,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,19.26601721,14.08729043,20.77972716,11.36508352,8.207265015,12.03958872,13.39977739,13.05089222,13.015151,
Bhutan,514,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,-15.21263691,-4.94614983,-0.084669652,8.053187897,5.40929368,-1.913506878,-0.225860428,-4.796220371,0.861615579,
Kiribati,826,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,5.762068736,0.457180371,9.621787523,7.725440467,-14.76101279,0.741008856,-0.025844888,0.128482615,0.138515689,
Maldives,556,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,5.647248549,11.39136062,-1.525170445,6.043676089,3.911891197,6.078705553,-0.658983351,-0.027042988,2.872915087,
Palau,565,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,3.425136589,21.33444157,9.598496809,0.398197262,9.888700803,5.719801336,-0.357622593,0.4790374,1.560279399,
Papua New Guinea,853,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,-2.009480894,-2.772058925,-8.473924127,-2.952181759,2.76618918,0.973519524,0.757052093,1.004799432,0.597333034,
Solomon Islands,813,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,11.78455379,-1.75044459,3.492772552,4.486424313,3.491275545,0.025137526,1.718542089,3.004974625,1.597601726,
Mongolia,948,"External Trade, Imports of Goods and Services, Percent Change",TM_R_PC_PP_PT,Value,,0.214280854,-4.137650336,-28.94724519,-0.019828918,0.887354379,-10.21719349,1.320992515,4.331414256,-6.622875429,
Australia,193,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,30.82911052,34.32283047,37.63774914,40.94293471,43.24512712,43.45482991,42.30054175,40.63049707,39.00582038,
Japan,158,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,244.4774055,249.1137391,247.9758642,250.3503767,253.0278186,254.945805,254.6957425,254.4972397,253.8811915,
New Zealand,196,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,30.80203202,30.31870759,29.94706535,29.88979474,29.16173978,26.79460751,25.59529923,24.61625608,23.07156964,
"China, P.R.: Mainland",924,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,36.9283753,39.83093208,42.91928325,46.3002603,49.86638539,52.59688031,54.61505343,56.13105957,57.21285713,
"China, P.R.: Hong Kong",532,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,0.5199707,0.06537492,0.062232364,0.060712569,0.059025043,0.056246056,0,0,0,
"Korea, Republic of",542,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,33.75749548,35.87620122,37.88871555,38.90881629,39.23765306,38.81633869,37.8404125,36.76686007,35.56141434,
Taiwan Province of China,528,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,39.03498707,37.89861717,36.45539226,35.73452138,34.37809421,32.59936998,30.56185924,28.16112032,25.50872958,
South Asia,9502,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,65.4294274,65.46259027,65.84799616,65.68685281,64.48277022,62.87473008,60.99685783,58.96811545,56.94578603,
Bangladesh,513,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,34.46458848,33.86952576,33.90460498,33.97073296,34.34233151,34.24874819,34.17236309,33.88637594,33.63781151,
India,534,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,67.95973241,68.32626972,69.06997595,68.4897221,67.21124947,65.56115443,63.52609129,61.40841852,59.2371592,
Sri Lanka,524,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,78.31532021,75.53546777,76.03558739,77.19078063,75.45932851,73.07369655,70.73624556,68.20763351,65.83342609,
Nepal,558,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,31.94898148,27.39416195,27.97619385,27.27504477,27.23166283,27.353244,27.74929074,27.95329712,28.12581905,
ASEAN,511,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,37.15966148,37.55382905,38.73852134,38.60357731,39.01112016,39.37513544,39.47013915,39.2815158,38.95618708,
Brunei Darussalam,516,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,2.208601018,2.304713554,2.812633227,3.4022759,3.024878424,2.836946351,2.475917033,2.133806603,1.855460191,
Cambodia,522,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,32.05452775,32.26234435,32.5376805,32.96817212,33.62236813,34.33747059,34.85867264,35.29484939,35.54269169,
Indonesia,536,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,24.84670758,24.69548664,27.30426092,27.4854592,28.24350459,29.232564,29.88041161,30.36670667,30.85300173,
Lao People's Democratic Republic,544,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,60.12732006,63.03745739,62.95406913,61.74469408,62.60374685,63.55826589,64.57332476,65.29337386,65.66514062,
Malaysia,548,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,55.90429266,55.57989886,57.39300231,56.62491911,55.71378941,54.30054997,52.49662726,50.48934682,48.41493516,
Myanmar,518,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,34.15854942,29.72923777,34.33928206,34.21777408,34.21576296,34.67847367,34.97961654,35.13312699,35.03615559,
Philippines,566,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,39.25843522,36.39764176,34.79462353,33.3748047,32.36532052,31.43329124,30.55679794,29.77524004,29.13391883,
Singapore,576,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,103.0552257,98.45988425,104.7493512,106.3636631,105.6823495,104.1827682,102.6705198,101.1460827,99.55205372,
Thailand,578,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,42.24722769,43.56831606,43.1082027,43.62659323,44.29872365,45.07182166,45.67104001,45.70249803,45.44491083,
Vietnam,582,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,51.82989558,55.13373318,58.25265436,62.00429738,64.5657792,66.0285036,66.98146416,67.54877262,67.91739035,
Bhutan,514,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,93.64183012,93.77111281,94.80080152,104.1296582,111.5235111,111.489225,103.0942782,97.24680444,92.85977133,
Fiji,819,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,49.50625752,47.74053245,48.08786437,49.23683674,50.38072073,50.75415323,51.08170759,51.17856431,51.03279791,
Kiribati,826,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,8.209342102,8.400936586,23.08120892,26.98087888,29.39609023,31.85834568,34.58091113,36.78779992,38.86251337,
Maldives,556,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,64.05784967,66.31265261,73.13344682,83.11573982,95.97940366,108.0518398,116.0016537,118.0603116,120.0654294,
"Marshall Islands, Republic of",867,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,36.10252622,34.81457691,33.70383329,31.17650557,28.66924696,27.10379322,26.37617549,26.51193809,27.11495218,
"Micronesia, Federated States of",868,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,26.98425764,26.08388274,26.34574121,26.18237648,25.24677287,26.82795426,28.28314841,29.68560311,30.95718023,
Papua New Guinea,853,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,25.02718136,28.11005661,30.55155066,34.26852519,36.48768901,38.58734233,39.49956271,40.43178771,40.63562963,
Solomon Islands,813,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,15.53933245,13.27763429,10.38256753,8.787806391,9.98800517,11.37286422,12.94491731,14.77969268,17.05725078,
Tuvalu,869,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,57.18036673,64.37257994,58.20714653,53.68025735,44.29450041,26.49119666,14.02714649,8.838704609,7.811339292,
Vanuatu,846,"Fiscal, General Government, Gross debt position, 2001 Manual, Percent of FY GDP",GGXWDG_G01_GDP_PT,Value,,20.56768185,19.31624704,25.63073074,33.45078135,44.82672332,52.240386,56.40687442,59.80752653,61.41717813,
Asia,229,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,3.01416E+11,4.82831E+11,6.67582E+11,6.38568E+11,5.10584E+11,4.72928E+11,4.46113E+11,4.25217E+11,3.99138E+11,
Australia,193,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-50764921769,-42608127651,-57978251327,-43851666288,-52913845316,-57715467390,-60085006062,-63235820595,-66006009220,
Japan,158,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,45943967592,36476944245,1.3558E+11,1.76098E+11,1.71024E+11,1.74604E+11,1.70455E+11,1.83102E+11,1.84999E+11,
New Zealand,196,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-5880732753,-6201388351,-5594473436,-5385399651,-6824029063,-7777880451,-8552433219,-9189439320,-9722749308,
"China, P.R.: Mainland",924,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,1.48204E+11,2.77434E+11,3.30602E+11,2.70896E+11,2.00541E+11,1.85254E+11,1.7087E+11,1.52715E+11,1.38262E+11,
"China, P.R.: Hong Kong",532,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,4148916968,3786779009,9631115555,8894761098,9517194251,10849607948,11558816149,12625191635,13350309008,
"Korea, Republic of",542,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,81148200000,84373000000,1.05871E+11,1.01614E+11,89789758697,89537529995,92803285264,93100259432,94026472684,
Taiwan Province of China,528,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,53054000000,63812000000,76165000000,77901039470,76894398167,77327831846,78974039177,82190562707,85031926284,
South Asia,9502,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-35357985483,-29898753691,-25024688432,-35991757459,-59585618891,-73862167943,-81357526490,-89962486438,-96062753387,
Bangladesh,513,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,1897000000,1700500000,1506500000,-131145000,-1809675401,-2943344106,-4247265871,-5619498478,-7045573180,
India,534,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-32257000000,-26788000000,-22086000000,-31967352706,-49194261720,-58926519986,-64092236576,-71850699484,-79436974313,
Sri Lanka,524,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-2540575150,-1988577063,-2008523263,-1231398311,-2472924275,-2902706279,-3336632974,-3684380882,-3944477445,
Nepal,558,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,634644296.1,908454452.3,1067264310,831150223.8,-203618214.2,-834421270.2,-1036199116,-1105420054,-1388424450,
ASEAN,511,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-3888649826,23009343108,31513812467,26368485931,17340370836,8083528238,3790085109,-3731681680,-9783215559,
Brunei Darussalam,516,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,3777830664,5458727544,1555669936,451632848.4,-485726133.4,-19837861.86,1720356342,2207177094,2847164178,
Cambodia,522,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-1879815457,-2031682055,-1889228733,-1969114042,-1973033413,-2025363904,-2027911338,-2273317967,-2512352188,
Indonesia,536,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-29109457593,-27509595863,-17653732674,-21281098039,-23685539088,-26744346553,-27162374372,-29337530903,-31794238146,
Lao People's Democratic Republic,544,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-3122730843,-2707426440,-2903506497,-2471177576,-2609651072,-2448276598,-2492539979,-2625354984,-2727580484,
Malaysia,548,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,11261937767,14835218971,8874211411,3645533736,4996879098,5627203817,6333447834,7099069456,7926577339,
Myanmar,518,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-2956586102,-3682739327,-4878889993,-5664869059,-6134026531,-5990414817,-6606909221,-6905490261,-6509073073,
Philippines,566,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,11384000000,10758000000,8396000000,5542332110,4850438700,4298969454,3564213088,2599433658,1329882235,
Singapore,576,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,53770878287,53515725504,57921917335,57262925279,60105930423,59134085162,58074921985,57353155265,56093718400,
Thailand,578,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-5169130000,15417720000,30991499729,37692131798,30951479313,24484972666,20154178812,14630663226,10668167904,
Vietnam,582,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,7744000000,9508000000,905834000,769586325.6,227112812,416728853.7,900619747.7,1276682883,2086395109,
Bhutan,514,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-469745874.8,-483071935.3,-581429479.4,-579351878.2,-708205024.9,-528113488.5,-418385719.1,-142948210,-188422699.4,
Fiji,819,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-412351989.9,-338146127.4,-235124173.2,-328737585.1,-336956527.1,-341040811.9,-343300962.4,-334867221.5,-328521908.3,
Kiribati,826,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,15469464.78,44743513.15,72064197.67,-11850111.24,-4381812.315,-2901123.214,219166.1031,3142026.983,4299309.953,
Maldives,556,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-126308754,-118059145.3,-295500000,-388859787.8,-491267917.9,-631416852.4,-563707702,-477824197.8,-465611526.3,
"Marshall Islands, Republic of",867,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-18821676.05,-8198674.151,-5948754.72,-14381709.92,-18087441.75,-18831950.34,-19657064.75,-21966863.87,-24258963.9,
"Micronesia, Federated States of",868,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-31629229.03,21525640.88,3256275.219,-359797.8542,-2216676.987,-4426875.02,-6821438.959,-8536141.845,-10531338.55,
Palau,565,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-21223530.68,-29548525.25,-1450963.145,-15594766.43,-22403934.35,-28277136.55,-22843498.36,-21120198.45,-19271290.47,
Papua New Guinea,853,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-6659761927,654722871.9,2133849812,1484191062,1257012724,1063660768,998100284.7,843857889.1,854178897.1,
Samoa,862,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-1505550.714,-59518413.54,-30798703.27,-28795191.37,-27272201.89,-26017109.72,-26464924.68,-23055431.31,-32059917.47,
Solomon Islands,813,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-38483722.82,-50100847.08,-30023560.01,-53764655.2,-98049948.63,-93612065.78,-87439641.94,-89912094.67,-51720787.22,
"Timor-Leste, Dem. Rep. of",537,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,2391138375,1093182647,238919720.1,-248243940.5,-310660675.2,-354414822.9,-376726407.7,-405815246.4,-269921985,
Tonga,866,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-27750708.1,-41158858.54,-34308149.04,-32543025.65,-51224106.01,-58520913.69,-49222115.87,-42712113.14,-45873758.27,
Tuvalu,869,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,456787.1624,7197486.134,2475839.318,-1277399.255,-1919543.415,-1925040.966,-1855537.499,-1135555.016,-738464.681,
Vanuatu,846,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-26369093.26,-2132445.101,-81558564.69,-128756813.2,-175271082.2,-168207959.7,-112717554.2,-94675111.67,-59268560.65,
Mongolia,948,"Balance of Payments, Current Account, Total, Net, In billions of US Dollars",BCA_BP6_USD,Value,,-3192046255,-1404951238,-567120601.8,-1241210775,-2142667636,-2633949076,-2719126468,-1937420157,-1458805738,
Asia,229,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,1.307755856,2.013601848,2.802086128,2.551669115,1.887466776,1.627336818,1.423582207,1.257052583,1.096382459,
Australia,193,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-3.371392812,-2.949929753,-4.731813145,-3.48959578,-3.938190623,-4.082271825,-4.022067312,-4.017034133,-4.024684868,
Japan,158,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,0.935939119,0.79375019,3.287410554,3.722766036,3.34929312,3.338233788,3.159157377,3.325240204,3.301483098,
New Zealand,196,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,-3.161851318,-3.132199464,-3.247745807,-3.002586528,-3.539132787,-3.843227563,-4.016437539,-4.085857813,-4.128099258,
"China, P.R.: Mainland",924,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,1.538150138,2.627803305,2.956674508,2.378031309,1.62227472,1.36456389,1.145397896,0.927907731,0.766702631,
"China, P.R.: Hong Kong",532,"Balance of Payments, Current Account, Total, Net, Percent of GDP",BCA_GDP_BP6_PT,Value,,1.505091183,1.300274775,3.114482188,2.814172472,2.915818432,3.161751487,3.202141181,3.324667282,3.358863016,
